sex,source_label,age_bin_label,count,mae,mse
F,generated_test,5-10,255,23.472549019607843,912.6735294117647
F,generated_test,10-15,255,30.198039215686276,1229.7950980392156
F,generated_test,15-20,255,26.029411764705884,840.4460784313726
F,generated_test,20-25,254,18.437007874015748,429.2185039370079
F,generated_test,25-30,255,12.554901960784314,221.82647058823528
F,generated_test,30-35,255,9.292156862745099,192.54019607843136
F,generated_test,35-40,255,6.97843137254902,182.72058823529412
F,generated_test,40-45,255,12.782352941176471,278.86960784313726
F,generated_test,45-50,255,14.096078431372549,238.73627450980393
F,generated_test,50-55,255,13.77843137254902,226.2107843137255
F,generated_test,55-60,255,9.288235294117648,127.4186274509804
F,generated_test,60-65,254,7.24015748031496,99.80905511811024
F,generated_test,65-70,255,8.42156862745098,81.41078431372549
F,generated_test,70-75,254,5.677165354330708,36.20275590551181
F,generated_test,75-80,255,2.123529411764706,13.951960784313725
F,generated_test,80-85,255,4.833333333333333,30.822549019607845
F,generated_test,85-90,255,6.17843137254902,52.65
F,generated_test,90-95,254,6.374015748031496,61.580708661417326
F,generated_test,95-100,255,6.598039215686274,68.57941176470588
F,generated_test,100-105,255,9.86078431372549,122.95588235294117
F,real_val,5-10,16,12.252033054828644,506.9271522726362
F,real_val,10-15,23,11.70002381697945,493.1416766550152
F,real_val,15-20,4,1.2150001525878906,3.0137499237062
F,real_val,20-25,24,10.402916669845581,217.4363561677933
F,real_val,25-30,77,9.733766233766234,183.9383116883117
F,real_val,30-35,84,5.666666666666667,35.55952380952381
F,real_val,35-40,18,7.055555555555555,203.91666666666666
F,real_val,40-45,1,19.740001678466797,389.66766626587196
F,real_val,45-50,1,16.06999969482422,258.2448901916505
F,real_val,50-55,1,9.0,81.0
F,real_val,55-60,20,5.600000190734863,44.337002761841724
F,real_val,60-65,28,4.617856979370117,39.971071221489446
F,real_val,65-70,99,6.042424596921362,57.163236928616314
F,real_val,70-75,205,4.8219510706459605,28.387851639914825
F,real_val,75-80,205,2.7156097784274964,21.874783252256
F,real_val,80-85,126,5.053968096536304,32.682378668411516
F,real_val,85-90,49,6.7061216393295595,57.588557670752955
F,real_val,90-95,10,3.3699996948242186,15.880997985845898
F,real_val,95-100,1,2.1999969482421875,4.839986572274938
M,generated_test,5-10,255,19.74313725490196,710.893137254902
M,generated_test,10-15,255,28.978431372549018,1276.2813725490196
M,generated_test,15-20,255,32.19803921568627,1310.5323529411764
M,generated_test,20-25,255,23.225490196078432,739.5441176470588
M,generated_test,25-30,255,16.26078431372549,418.2343137254902
M,generated_test,30-35,254,14.318897637795276,422.9744094488189
M,generated_test,35-40,254,13.673228346456693,434.2814960629921
M,generated_test,40-45,254,15.618110236220472,382.1397637795276
M,generated_test,45-50,255,17.315686274509805,355.0813725490196
M,generated_test,50-55,255,16.162745098039217,313.97549019607845
M,generated_test,55-60,255,12.535294117647059,209.55196078431374
M,generated_test,60-65,255,10.488235294117647,153.58333333333334
M,generated_test,65-70,255,9.45686274509804,96.61078431372549
M,generated_test,70-75,254,5.84251968503937,38.24212598425197
M,generated_test,75-80,254,2.7992125984251968,21.108267716535433
M,generated_test,80-85,255,4.919607843137255,28.75980392156863
M,generated_test,85-90,254,4.031496062992126,26.730314960629922
M,generated_test,90-95,255,3.9862745098039216,32.72843137254902
M,generated_test,95-100,254,6.425196850393701,52.85629921259842
M,generated_test,100-105,255,11.307843137254903,137.0186274509804
M,real_val,5-10,34,6.452961963765762,131.48207455838354
M,real_val,10-15,63,13.51505482386029,643.0581211707963
M,real_val,15-20,29,27.427451791434454,1316.5222641480798
M,real_val,20-25,53,19.0631057091479,622.4394830817959
M,real_val,25-30,87,13.97382874324404,395.872516657199
M,real_val,30-35,55,11.725014565207742,335.1515913299719
M,real_val,35-40,8,17.002787113189697,529.1725696219019
M,real_val,40-45,3,19.166666666666668,368.9166666666667
M,real_val,45-50,2,13.0,171.25
M,real_val,50-55,1,21.5,462.25
M,real_val,55-60,4,8.100000381469727,88.58500865936367
M,real_val,60-65,20,6.639999580383301,67.25299323272993
M,real_val,65-70,69,7.9985504150390625,76.41637670987393
M,real_val,70-75,189,4.868253960180535,27.604603615417282
M,real_val,75-80,196,2.707142732581314,19.818672432417493
M,real_val,80-85,142,5.5154932586240095,35.69056706388668
M,real_val,85-90,75,3.923999532063802,22.689198050948324
M,real_val,90-95,17,1.8941170187557446,5.142352995034718
